Village,District,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Recommended_Crop,RF_Predicted_Crop,Fertilizer_Advisory
Agarakkirangudi,Mayiladuthurai,30.0,75.0,15.0,7.0,29.41,71.97,1124.97,Sugarcane,Sugarcane,Urea: 50kg/Acre
Anaimelagaram,Mayiladuthurai,30.0,51.55,41.85,7.0,31.31,78.89,1002.43,Banana,Banana,Urea: 50kg/Acre | DAP: 50kg/Acre
Anathandavapuram,Mayiladuthurai,30.0,69.55,15.0,7.0,30.09,71.56,1059.69,Sugarcane,Sugarcane,Urea: 50kg/Acre
Arulmolithevan,Mayiladuthurai,30.0,75.0,15.0,7.0,30.82,73.65,1014.84,Sugarcane,Sugarcane,Urea: 50kg/Acre
Aruvappadi,Mayiladuthurai,30.0,75.0,15.0,7.0,28.26,74.12,1041.66,Sugarcane,Sugarcane,Urea: 50kg/Acre
Attur,Mayiladuthurai,30.0,60.25,42.82,7.0,30.02,77.87,1221.78,Pulses,Pulses,Urea: 50kg/Acre
Budangudi,Mayiladuthurai,30.0,75.0,15.0,7.0,31.02,70.09,1018.61,Sugarcane,Sugarcane,Urea: 50kg/Acre
Dharmadanapuram,Mayiladuthurai,30.0,75.0,46.67,7.0,28.01,72.78,1126.32,Paddy,Paddy,Urea: 50kg/Acre
Elanthoppu,Mayiladuthurai,30.0,75.0,30.91,7.0,29.12,74.96,1166.63,Paddy,Paddy,Urea: 50kg/Acre
Ivanallur,Mayiladuthurai,30.0,75.0,35.0,7.0,30.81,72.74,1087.37,Banana,Banana,Urea: 50kg/Acre
kadakkam,Mayiladuthurai,30.0,75.0,30.0,7.0,29.0,74.09,1081.38,Sugarcane,Sugarcane,Urea: 50kg/Acre
Kadalangudi,Mayiladuthurai,30.0,75.0,66.25,7.0,31.18,75.24,1059.23,Banana,Banana,Urea: 50kg/Acre
Kaduvangudi,Mayiladuthurai,30.0,75.0,34.44,7.0,28.98,71.94,1063.18,Banana,Banana,Urea: 50kg/Acre
Kali -I,Mayiladuthurai,30.0,75.0,43.5,7.0,30.38,77.13,1244.68,Sugarcane,Sugarcane,Urea: 50kg/Acre
Kali II Bit,Mayiladuthurai,30.0,75.0,43.0,7.0,30.48,72.38,1179.85,Paddy,Paddy,Urea: 50kg/Acre
Kanganamputhur,Mayiladuthurai,30.0,75.0,40.0,7.0,31.23,79.08,1159.85,Paddy,Paddy,Urea: 50kg/Acre
Keelamarudandanallur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.37,71.27,1042.24,Banana,Banana,Urea: 50kg/Acre
Kesingan,Mayiladuthurai,30.0,75.0,15.0,7.0,29.84,76.01,1119.06,Paddy,Paddy,Urea: 50kg/Acre
Kiloy,Mayiladuthurai,30.0,75.0,42.7,7.0,28.4,75.21,1234.74,Paddy,Paddy,Urea: 50kg/Acre
Kodangudi,Mayiladuthurai,30.0,75.0,15.0,7.0,29.96,72.15,1086.36,Sugarcane,Sugarcane,Urea: 50kg/Acre
Korukkai,Mayiladuthurai,30.0,75.0,26.11,7.0,30.44,77.75,1201.45,Paddy,Paddy,Urea: 50kg/Acre
Kovangudi,Mayiladuthurai,30.0,75.0,36.88,7.0,30.33,71.67,1214.13,Paddy,Paddy,Urea: 50kg/Acre
Kulichar,Mayiladuthurai,30.0,75.0,70.0,7.0,29.13,78.68,1178.44,Paddy,Paddy,Urea: 50kg/Acre
Kurichi,Mayiladuthurai,30.0,75.0,33.18,7.0,29.6,72.08,1195.09,Paddy,Paddy,Urea: 50kg/Acre
Maharajapuram,Mayiladuthurai,30.0,75.0,28.89,7.0,30.41,79.32,1124.72,Paddy,Paddy,Urea: 50kg/Acre
Manakkudi,Mayiladuthurai,30.0,33.65,35.75,7.0,29.07,72.54,1157.31,Paddy,Paddy,Urea: 50kg/Acre | DAP: 50kg/Acre
